Index,Name,Address,latitude,longtitude,Phone,Website,Ranking,Open Hours,Images
1,Dylan Bradshaw Hair Salon,"56 William St S, Dublin 2, D02 Y897",53.3418767,-6.262522799999999,,,4.9,"['9a.m.–6p.m.', 'Closed', 'Closed', '9a.m.–6p.m.', '9a.m.–9p.m.', '9a.m.–9p.m.', '9a.m.–6p.m.']",https://lh5.googleusercontent.com/p/AF1QipMeZsBstU-9kY32EAIYq3Wvosl5moVc3j01le5v=w408-h603-k-no
2,Great Lengths Hair Salon,"Main St, Clare Commons, Kildysart, Co. Clare",52.8149824,-8.9637558,None,None,None,[],https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DRiyFeAnNEWZuzMBzDjfag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=224.32968&pitch=0&thumbfov=100
3,Aura Hair Specialists Ireland,"The Square, Townparks, Castlepollard, Co. Westmeath, N91 X625",53.6799203,-7.2986064,,,4.9,"['9a.m.–5p.m.', 'Closed', 'Closed', '9a.m.–5p.m.', '9a.m.–5p.m.', '9a.m.–5p.m.', '9a.m.–5p.m.']",https://lh5.googleusercontent.com/p/AF1QipMST5KiFCJMAEHdCObiLs8KF0bdX0SdWtz6HdKU=w426-h240-k-no
4,La Vita Hair & Beauty Salon | Bridal Services | Ennis | Ireland,"75 O'Connell Street, Clonroad Beg, Ennis, Co. Clare, V95 KD83",52.8417695,-8.9839442,,,4.7,"['9a.m.–6p.m.', 'Closed', '9:30a.m.–6p.m.', '9:30a.m.–6p.m.', '9:30a.m.–6p.m.', '9:30a.m.–8p.m.', '9:30a.m.–8p.m.']",https://lh5.googleusercontent.com/p/AF1QipP-3ooBvGw__uWf503zY7yYpxHkMPOJu_HobqMC=w506-h240-k-no
5,Hair Salon,"Ferbane, Co. Offaly",53.27195,-7.8278719,None,None,None,[],https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l0ryBPmnQ6JpUlyujkSLeg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=239.54172&pitch=0&thumbfov=100
6,Trim Hair Salon,"45 Shelbourne Rd, Dublin 4, D04 Y4A4",53.3304724,-6.231969899999999,,,4.9,"['9a.m.–6p.m.', '9a.m.–6p.m.', '7:30a.m.–6p.m.', '7:30a.m.–7:30p.m.', '7:30a.m.–7:30p.m.', '7:30a.m.–7:30p.m.', '7:30a.m.–7:30p.m.']",https://lh5.googleusercontent.com/p/AF1QipPls9In5kGYl1QcZWb7R40IAKlaoK4uzk4wkJfm=w408-h544-k-no
7,Downtown Hair Styles,"12 Castle St, Athlone, Co. Westmeath, N37 W9V4",53.4229893,-7.9426165,,None,5.0,[''],https://lh5.googleusercontent.com/p/AF1QipO8ZGgDIPdOp3EbwYQ90Dh489dj3bcTHnOZN3sz=w408-h276-k-no
8,Ultimate Hair & Beauty,"Unit 8, GPO Arcade, Henry St, North City, Dublin 1, D01 F6Y9",53.34922109999999,-6.261601499999999,,,4.7,"['9a.m.–5:30p.m.', 'Closed', '9a.m.–5:30p.m.', '9a.m.–5:30p.m.', '9a.m.–7p.m.', '9a.m.–8p.m.', '9a.m.–7p.m.']",https://lh5.googleusercontent.com/p/AF1QipOC1R9Xs9rm4ZfCEsyx1xGLSopygufVK_OQ2Ro8=w408-h408-k-no
9,Peter Mark Hairdressers Newry,"Albert Basin, Newry BT35 8QS, United Kingdom",54.1687155,-6.3391426,,,4.5,"['9a.m.–6p.m.', 'Closed', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–6p.m.', '9a.m.–9p.m.', '9a.m.–9p.m.']",https://lh5.googleusercontent.com/p/AF1QipMrzn1OJqJ8CeEoc-n2NspjP5jzMxDdIzuWMF_6=w408-h271-k-no
10,Kazumi Hair Salon,"36 Molesworth St, Dublin 2, D02 HY45",53.3410089,-6.2569998,,,4.9,"['9a.m.–5p.m.', 'Closed', '9:30a.m.–6p.m.', '9:30a.m.–6p.m.', '9:30a.m.–6p.m.', '9:30a.m.–8p.m.', '9:30a.m.–6p.m.']",https://lh5.googleusercontent.com/p/AF1QipP8Qy4rfFJZdnTbqV3DxCzs1xqQeGStjpjEQJca=w408-h306-k-no
